date,home_team,away_team,team_goals,player_team,own_goal,minute,player,assist1,assist2,OTgoal,ETgoal
"9/23/12","Philadelphia Union","Houston Dynamo","Philadelphia Union","Philadelphia Union","FALSE",70,"Josue Martinez","Amobi Okugo","",0,0
"10/27/12","Colorado Rapids","Houston Dynamo","Colorado Rapids","Colorado Rapids","FALSE",9,"Kamani Hill","Jaime Castrillí_n","",0,0
"5/9/12","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",7,"Kenny Cooper","","",0,0
"9/2/12","Chicago Fire","Houston Dynamo","Chicago Fire","Chicago Fire","FALSE",93,"Alex","Dominic Oduro","",0,0
"3/23/12","Seattle Sounders","Houston Dynamo","Seattle Sounders","Seattle Sounders","FALSE",27,"Brad Evans","","",0,0
"9/23/12","Philadelphia Union","Houston Dynamo","Philadelphia Union","Philadelphia Union","FALSE",50,"Freddy Adu","","",0,0
"4/28/12","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",59,"Will Bruin","Corey Ashe","",0,0
"4/21/12","Columbus Crew","Houston Dynamo","Columbus Crew","Columbus Crew","FALSE",63,"Eddie Gaven","","",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",16,"Brad Davis","","",0,0
"7/28/12","Toronto FC","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",45,"Calen Carr","Brad Davis","Bobby Boswell",0,0
"6/10/12","Vancouver Whitecaps","Houston Dynamo","Vancouver Whitecaps","Vancouver Whitecaps","FALSE",66,"Darren Mattocks","Gershon Koffie","",0,0
"6/23/12","Montreal Impact","Houston Dynamo","Montreal Impact","Montreal Impact","FALSE",60,"Hassoun Camara","Felipe Martins","Davy Arnaud",0,0
"7/28/12","Toronto FC","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",86,"Brian Ching","Boniek Garcí_a","Brad Davis",0,0
"4/28/12","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",50,"Will Bruin","Jermaine Taylor","",0,0
"3/11/12","Chivas USA","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",92,"Andre Hainault","Adam Moffat","",0,0
"9/14/12","Sporting Kansas City","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",58,"Brad Davis","Boniek Garcí_a","",0,0
"8/10/12","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",92,"Jan Gunnar Solli","Tim Cahill","Thierry Henry",0,0
"7/13/13","New England Revolution","Houston Dynamo","New England Revolution","New England Revolution","FALSE",55,"Saer Sene","","",0,0
"3/17/13","FC Dallas","Houston Dynamo","FC Dallas","FC Dallas","FALSE",35,"Andrew Jacobson","David Ferreira","",0,0
"6/19/13","Montreal Impact","Houston Dynamo","Montreal Impact","Montreal Impact","FALSE",14,"Felipe","Patrice Bernier","",0,0
"4/20/13","Toronto FC","Houston Dynamo","Toronto FC","Toronto FC","FALSE",58,"Jeremy Hall","","",0,0
"6/30/13","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",88,"Jonny Steele","Thierry Henry","",0,0
"3/17/13","FC Dallas","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",83,"Brad Davis","","",0,0
"3/17/13","FC Dallas","Houston Dynamo","FC Dallas","FC Dallas","FALSE",90,"Kenny Cooper","Michel","",0,0
"7/13/13","New England Revolution","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",49,"Adam Moffat","","",0,0
"5/8/13","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",78,"Will Bruin","Brad Davis","Brian Ching",0,0
"5/8/13","D.C. United","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",28,"Giles Barnes","Will Bruin","",0,0
"6/30/13","New York Red Bulls","Houston Dynamo","New York Red Bulls","New York Red Bulls","FALSE",60,"Fabian Espindola","Eric Alexander","",0,0
"3/17/13","FC Dallas","Houston Dynamo","Houston Dynamo","Houston Dynamo","FALSE",79,"Andrew Driver","Kofi Sarkodie","",0,0
